,HRM_HEART_RATE,HRM_RESPERATION_RATE,HRM_POSTURE
2018-08-02 12:52:42.446000099,86.00000,22.20000,167.00000
2018-08-02 12:52:43.449000120,86.00000,22.20000,165.00000
2018-08-02 12:52:44.454999924,88.00000,22.40000,165.00000
2018-08-02 12:52:45.470000029,90.00000,22.40000,165.00000
2018-08-02 12:52:46.450999975,92.00000,22.80000,165.00000
2018-08-02 12:52:47.450000048,92.00000,22.80000,165.00000
2018-08-02 12:52:48.453999996,92.00000,23.30000,165.00000
2018-08-02 12:52:49.451999903,93.00000,23.30000,165.00000
2018-08-02 12:52:50.450000048,93.00000,23.90000,165.00000
2018-08-02 12:52:51.451999903,87.00000,23.90000,165.00000
2018-08-02 12:52:52.467999935,86.00000,24.80000,164.00000
2018-08-02 12:52:53.463999987,86.00000,24.80000,165.00000
2018-08-02 12:52:54.470000029,89.00000,25.00000,165.00000
2018-08-02 12:52:55.469000101,91.00000,25.00000,165.00000
2018-08-02 12:52:56.457000017,93.00000,25.20000,165.00000
2018-08-02 12:52:57.451999903,94.00000,25.20000,165.00000
2018-08-02 12:52:58.456000090,94.00000,25.40000,167.00000
2018-08-02 12:52:59.467999935,93.00000,25.40000,167.00000
2018-08-02 12:53:00.450000048,92.00000,25.60000,165.00000
2018-08-02 12:53:01.460999966,90.00000,25.60000,165.00000
2018-08-02 12:53:02.464999914,89.00000,26.00000,166.00000
2018-08-02 12:53:03.464999914,90.00000,26.00000,165.00000
2018-08-02 12:53:04.464999914,90.00000,26.70000,166.00000
2018-08-02 12:53:05.446000099,92.00000,26.70000,165.00000
2018-08-02 12:53:06.470000029,93.00000,27.30000,166.00000
2018-08-02 12:53:07.463999987,92.00000,27.30000,165.00000
2018-08-02 12:53:08.450000048,91.00000,27.90000,165.00000
2018-08-02 12:53:09.454999924,93.00000,27.90000,165.00000
2018-08-02 12:53:10.451999903,92.00000,28.10000,165.00000
2018-08-02 12:53:11.459000111,91.00000,28.10000,165.00000
2018-08-02 12:53:12.450000048,88.00000,28.00000,165.00000
2018-08-02 12:53:13.450000048,87.00000,28.00000,165.00000
2018-08-02 12:53:14.453999996,88.00000,27.90000,165.00000
2018-08-02 12:53:15.456000090,90.00000,27.90000,165.00000
2018-08-02 12:53:16.460999966,92.00000,27.80000,165.00000
2018-08-02 12:53:17.469000101,89.00000,27.80000,165.00000
2018-08-02 12:53:18.450999975,89.00000,28.00000,165.00000
2018-08-02 12:53:19.457000017,89.00000,28.00000,164.00000
2018-08-02 12:53:20.464999914,90.00000,28.20000,164.00000
2018-08-02 12:53:21.450999975,92.00000,28.20000,164.00000
2018-08-02 12:53:22.446000099,93.00000,28.10000,164.00000
2018-08-02 12:53:23.449000120,94.00000,28.10000,164.00000
2018-08-02 12:53:24.460000038,94.00000,28.00000,164.00000
2018-08-02 12:53:25.457000017,94.00000,28.00000,163.00000
2018-08-02 12:53:26.460000038,94.00000,27.90000,164.00000
2018-08-02 12:53:27.446000099,95.00000,27.90000,164.00000
2018-08-02 12:53:28.464999914,96.00000,27.80000,163.00000
2018-08-02 12:53:29.456000090,100.00000,27.80000,161.00000
2018-08-02 12:53:30.460000038,96.00000,28.00000,161.00000
2018-08-02 12:53:31.450000048,92.00000,28.00000,162.00000
2018-08-02 12:53:32.464999914,90.00000,27.90000,162.00000
2018-08-02 12:53:33.449000120,90.00000,27.90000,162.00000
2018-08-02 12:53:34.450000048,92.00000,28.10000,162.00000
2018-08-02 12:53:35.453000069,96.00000,28.10000,162.00000
2018-08-02 12:53:36.450000048,95.00000,28.00000,163.00000
2018-08-02 12:53:37.453999996,92.00000,28.00000,162.00000
2018-08-02 12:53:38.460999966,90.00000,27.60000,163.00000
2018-08-02 12:53:39.470000029,90.00000,27.60000,163.00000
2018-08-02 12:53:40.467999935,91.00000,27.00000,162.00000
2018-08-02 12:53:41.449000120,92.00000,27.00000,162.00000
2018-08-02 12:53:42.460999966,94.00000,26.70000,161.00000
2018-08-02 12:53:43.457000017,95.00000,26.70000,161.00000
2018-08-02 12:53:44.459000111,95.00000,26.10000,162.00000
2018-08-02 12:53:45.450999975,93.00000,26.10000,162.00000
2018-08-02 12:53:46.450999975,92.00000,25.30000,163.00000
2018-08-02 12:53:47.451999903,93.00000,25.30000,162.00000
2018-08-02 12:53:48.454999924,94.00000,24.60000,161.00000
2018-08-02 12:53:49.450999975,94.00000,24.60000,161.00000
2018-08-02 12:53:50.460000038,93.00000,23.60000,161.00000
2018-08-02 12:53:51.463000059,93.00000,23.60000,-172.00000
2018-08-02 12:53:52.450999975,97.00000,23.10000,-174.00000
2018-08-02 12:53:53.459000111,101.00000,23.10000,-174.00000
2018-08-02 12:53:54.463999987,102.00000,22.70000,-173.00000
2018-08-02 12:53:55.450999975,102.00000,22.70000,-176.00000
2018-08-02 12:53:56.454999924,102.00000,22.30000,-177.00000
2018-08-02 12:53:57.464999914,102.00000,22.30000,-176.00000
2018-08-02 12:53:58.460000038,102.00000,22.10000,-176.00000
2018-08-02 12:53:59.463999987,103.00000,22.10000,-174.00000
2018-08-02 12:54:00.450000048,104.00000,21.90000,-173.00000
2018-08-02 12:54:01.450999975,100.00000,21.90000,-174.00000
2018-08-02 12:54:02.454999924,95.00000,21.90000,-175.00000
2018-08-02 12:54:03.467999935,92.00000,21.90000,-175.00000
2018-08-02 12:54:04.463999987,91.00000,20.00000,-175.00000
2018-08-02 12:54:05.446000099,89.00000,20.00000,-175.00000
2018-08-02 12:54:06.454999924,88.00000,18.90000,-176.00000
2018-08-02 12:54:07.463000059,87.00000,18.90000,-176.00000
2018-08-02 12:54:08.466000080,89.00000,18.20000,-176.00000
2018-08-02 12:54:09.466000080,94.00000,18.20000,-174.00000
2018-08-02 12:54:10.464999914,98.00000,17.90000,-173.00000
2018-08-02 12:54:11.469000101,102.00000,17.90000,-173.00000
2018-08-02 12:54:12.447999954,103.00000,17.90000,-172.00000
2018-08-02 12:54:13.469000101,99.00000,17.90000,-170.00000
2018-08-02 12:54:14.446000099,95.00000,18.20000,-170.00000
2018-08-02 12:54:15.460000038,91.00000,18.20000,-170.00000
2018-08-02 12:54:16.457000017,91.00000,19.10000,-162.00000
2018-08-02 12:54:17.459000111,92.00000,19.10000,-159.00000
2018-08-02 12:54:18.456000090,93.00000,19.90000,-156.00000
2018-08-02 12:54:19.459000111,94.00000,19.90000,-154.00000
2018-08-02 12:54:20.467999935,94.00000,21.20000,-156.00000
2018-08-02 12:54:21.470000029,94.00000,21.20000,-161.00000
2018-08-02 12:54:22.467999935,94.00000,23.00000,-166.00000
2018-08-02 12:54:23.449000120,94.00000,23.00000,-168.00000
2018-08-02 12:54:24.457999945,94.00000,24.60000,-168.00000
2018-08-02 12:54:25.467999935,93.00000,24.60000,-168.00000
2018-08-02 12:54:26.450000048,94.00000,25.70000,-168.00000
2018-08-02 12:54:27.450000048,92.00000,25.70000,-168.00000
2018-08-02 12:54:28.450000048,91.00000,26.40000,-168.00000
2018-08-02 12:54:29.456000090,93.00000,26.40000,-168.00000
2018-08-02 12:54:29.457000017,93.00000,26.40000,-168.00000
2018-08-02 12:54:30.459000111,95.00000,27.10000,-168.00000
2018-08-02 12:54:31.464999914,97.00000,27.10000,-168.00000
2018-08-02 12:54:32.467999935,97.00000,27.70000,-168.00000
2018-08-02 12:54:33.453999996,94.00000,27.70000,-168.00000
2018-08-02 12:54:34.470000029,89.00000,28.20000,-169.00000
2018-08-02 12:54:35.450000048,86.00000,28.20000,-170.00000
2018-08-02 12:54:36.470000029,85.00000,28.40000,-169.00000
2018-08-02 12:54:37.469000101,87.00000,28.40000,-168.00000
2018-08-02 12:54:38.449000120,91.00000,28.80000,-168.00000
2018-08-02 12:54:39.459000111,95.00000,28.80000,-171.00000
2018-08-02 12:54:40.453000069,97.00000,28.70000,-173.00000
2018-08-02 12:54:41.463999987,97.00000,28.70000,-173.00000
2018-08-02 12:54:42.467999935,96.00000,28.20000,-174.00000
2018-08-02 12:54:43.450000048,96.00000,28.20000,-173.00000
2018-08-02 12:54:44.450000048,97.00000,27.50000,-171.00000
2018-08-02 12:54:45.457999945,98.00000,27.50000,-170.00000
2018-08-02 12:54:46.447999954,100.00000,26.80000,-171.00000
2018-08-02 12:54:47.450000048,101.00000,26.80000,-172.00000
2018-08-02 12:54:48.451999903,100.00000,26.60000,-172.00000
2018-08-02 12:54:49.460000038,98.00000,26.60000,-173.00000
2018-08-02 12:54:50.464999914,96.00000,26.30000,-173.00000
2018-08-02 12:54:51.450000048,95.00000,26.30000,-173.00000
2018-08-02 12:54:52.451999903,95.00000,26.10000,-173.00000
2018-08-02 12:54:53.457999945,95.00000,26.10000,-172.00000
2018-08-02 12:54:54.460999966,94.00000,25.90000,-172.00000
2018-08-02 12:54:55.467999935,93.00000,25.90000,-172.00000
2018-08-02 12:54:56.447000027,95.00000,25.70000,-172.00000
2018-08-02 12:54:57.449000120,96.00000,25.70000,-171.00000
2018-08-02 12:54:58.447000027,98.00000,25.50000,-171.00000
2018-08-02 12:54:59.454999924,101.00000,25.50000,-172.00000
2018-08-02 12:55:00.457999945,102.00000,25.70000,-173.00000
2018-08-02 12:55:01.464999914,102.00000,25.70000,-172.00000
2018-08-02 12:55:02.453000069,102.00000,25.80000,-165.00000
2018-08-02 12:55:03.457000017,102.00000,25.80000,-162.00000
2018-08-02 12:55:04.467999935,101.00000,26.20000,-162.00000
2018-08-02 12:55:05.447999954,101.00000,26.20000,-162.00000
2018-08-02 12:55:06.449000120,101.00000,26.60000,-163.00000
2018-08-02 12:55:07.457999945,101.00000,26.60000,-168.00000
2018-08-02 12:55:08.463999987,102.00000,26.80000,-168.00000
